RT,Height,Area
35.179,294565,26150.561
35.4,190399,43544.402
35.592,190465,35393.141
35.816,188583,59420.957
36.045,163632,4372.824
36.08,162788,41017.707
36.448,156496,44753.676
36.688,144864,28774.734
36.947,131987,40932.383
37.125,120239,10138.49
37.275,115868,19851.807
37.477,110597,13493.999
37.539,109992,7915.486
37.6,97124,1807.007
37.728,335094,59661.18
37.907,107409,1425.979
38.069,191396,46841.965
